Question
Walk me through your resume.
How did you hear about this position?
Why do you want to work at this company?
Why do you want this job?
Why should we hire you?
What can you bring to the company?
What are your greatest strengths?
What do you consider to be your weaknesses?
What is your greatest professional achievement?
"Tell me about a challenge or conflict you’ve faced at work, and how you dealt with it."
Tell me about a time you demonstrated leadership skills.
What’s a time you disagreed with a decision that was made at work?
Tell me about a time you made a mistake.
Tell me about a time you failed.
Why are you leaving your current job?
Why were you fired?
Why was there a gap in your employment?
Can you explain why you changed career paths?
What’s your current salary?
What do you like least about your job?
What are you looking for in a new position?
What type of work environment do you prefer?
What’s your work style?
What’s your management style?
How would your boss and coworkers describe you?
How do you deal with pressure or stressful situations?
What do you like to do outside of work?
Are you planning on having children?
How do you stay organized?
How do you prioritize your work?
What are you passionate about?
What motivates you?
What are your pet peeves?
How do you like to be managed?
Do you consider yourself successful?
Where do you see yourself in five years?
How do you plan to achieve your career goals?
What are your career aspirations?
What’s your dream job?
What other companies are you interviewing with?
What makes you unique?
What should I know that’s not on your resume?
What would your first few months look like in this role?
What are your salary expectations?
What do you think we could do better or differently?
When can you start?
Are you willing to relocate?
How many tennis balls can you fit into a limousine?
"If you were an animal, which one would you want to be?"
Sell me this pen.
Is there anything else you’d like us to know?
Do you have any questions for us?
Bonus questions
Want even more advice for answering common interview questions?
