Tell me about yourself.
Why should I hire you?
What is your long-range objective?
What is your greatest accomplishment?
How has your education prepared you for your career?
Are you a team player?
Have you ever had a conflict with a boss or professor? How did you resolve it?
What is your greatest strength?
What is your greatest weakness?
"If I were to ask one of your professors (or a boss) to describe you, what would he or she say?"
What qualities do you feel a successful manager should have?
"If you had to live your life over again, what one thing would you change?"
How would you describe your ideal job?
Why did you choose this career?
When did you decide on this career?
What goals do you have in your career?
How do you plan to achieve your career goals?
How do you personally define success?
Describe a situation in which you were successful.
What do you think it takes to be successful in this career?
What accomplishments have given you the most satisfaction in your life?
Would you rather work with information or with people?
What motivates you?
Tell me about some of your recent goals and what you did to achieve them.
What are your short-term goals?
What are your mid-range goals?
What would your past manager say about you?
Are you a goal-oriented person?
Where do you want to be ten years from now?
Do you handle conflict well?
What major problem have you had to deal with recently?
Do you handle pressure well?
Why did you choose to attend this college?
What changes would you make at your college?
What were your favorite classes? Why?
Do you enjoy doing independent research?
Who were your favorite professors? Why?
Why is your GPA not higher?
Do you have any plans for further education?
How much training do you think you'll need to become a productive employee?
Why do you want to work in the _____ industry?
What do you know about our company?
Why are you interested in our company?
Do you have any location preferences?
How familiar are you with the community that we're located in?
Are you willing to relocate? In the future?
Are you willing to travel? How much?
Is money important to you?
How much money do you need to make to be happy?
What kind of salary are you seeking?
